# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
26451 5 5 1 1.4732530972 0.3690078584 7.33 1.78 -20.07 0.72 0.5 0.82 0.88 0.65 56 22.47 0 0.0 0 2.9184 0.0118 0.055 2 -0.148 0.009 -0.15 1.14 -1.55 1.1 -2.46 1.7 1.01 0.67 -1.0 -0.02 1.13 -1.56 1.56 -1.01 -3.17 1.0
26634 7 0 1 1.4819983319 -0.5947043514 12.48 1.58 -24.82 0.24 0.34 0.36 0.28 0.5 125 22.74 0 0.0 290 2.6124 0.0005 0.005 0 -0.12 0.001 -0.07 1.03 0.57 1.15 -1.54 1.65 1.06 2.3 0.68 -2.57 1.11 0.63 2.55 -0.48 1.0 1.39
26727 15 3 2 1.4868405212 -0.0339043911 4.43 3.19 2.03 0.52 0.25 0.64 0.59 0.26 102 21.24 0 0.0 0 1.6812 0.0011 0.009 0 -0.199 0.022 -0.18 1.23 -2.82 1.12 -1.55 -0.07 1.14 0.82 2.47 -1.24 1.03 4.3 -2.37 6.07 -2.88 1.0
27072 5 0 1 1.503017555 -0.3917825525 112.02 -291.67 -368.97 0.11 0.13 0.18 0.14 0.15 167 1.55 1 0.0 0 3.6977 0.0004 0.004 0 0.481 0.011 0.57 1.06 -0.13 1.04 -0.95 0.84 1.0 1.91 1.72 -0.63 1.0 1.4 0.62 0.1 -0.4 1.0
27100 5 0 1 1.5043588521 -1.1473016199 21.8 -28.91 5.17 0.13 0.14 0.14 0.1 0.15 147 1.28 1 0.0 0 4.3927 0.0005 0.005 0 0.217 0.009 0.27 1.18 0.41 1.01 -1.59 -0.67 1.0 5.66 -1.54 1.03 1.0 -0.96 0.37 -0.06 0.24 1.0
27288 5 0 1 1.5138803932 -0.2586917834 46.28 -14.54 -1.07 0.11 0.09 0.16 0.13 0.1 126 -1.31 1 0.0 0 3.5778 0.0005 0.004 0 0.104 0.003 0.11 1.07 0.86 1.07 -0.59 0.95 1.02 0.04 2.4 0.48 1.0 2.87 -0.87 1.87 0.16 1.0
27321 5 0 1 1.5153154641 -0.8912822871 51.44 4.65 83.1 0.1 0.11 0.12 0.11 0.15 111 -1.63 0 0.0 0 3.9077 0.0006 0.005 0 0.171 0.002 0.18 1.01 0.25 1.01 -0.31 0.62 1.03 0.94 -0.73 1.49 1.0 -0.63 0.21 0.77 -0.44 1.0
27366 5 0 1 1.5173738329 -0.1687663889 5.04 1.46 -1.28 0.18 0.13 0.22 0.17 0.13 91 2.58 3 0.0 0 2.0065 0.002 0.014 2 -0.168 0.027 -0.14 1.24 -2.01 1.17 -1.5 0.43 1.03 0.89 3.78 -0.91 1.03 4.48 1.28 2.38 -2.39 1.0
27530 5 0 1 1.5264051001 -0.9802901529 18.45 81.13 -71.12 0.13 0.14 0.15 0.15 0.17 101 -0.81 0 0.0 0 4.6622 0.0008 0.006 0 1.075 0.052 1.06 1.01 -0.41 1.0 0.9 -0.01 1.02 0.07 0.41 -0.4 1.0 0.37 -0.32 1.01 -0.54 1.0
27628 5 0 1 1.5313484549 -0.6242919202 37.41 54.77 404.2 0.09 0.09 0.12 0.1 0.11 119 -1.5 0 0.0 0 3.2833 0.0004 0.004 0 1.146 0.052 1.1 1.06 0.79 1.01 -2.61 0.45 1.04 0.89 0.38 -2.26 1.01 0.43 0.81 0.97 0.84 1.0
27654 5 0 1 1.5329192531 -0.3643813549 28.68 229.49 -648.41 0.11 0.11 0.17 0.18 0.12 153 -0.87 1 0.0 0 3.9262 0.0004 0.005 0 0.984 0.035 1.05 1.15 1.07 1.07 -0.15 0.38 1.05 3.07 1.94 -1.65 1.01 2.17 0.7 -0.79 1.05 1.0
27890 1 1 1 1.5450454619 -1.1011460457 38.1 118.57 572.93 0.57 0.54 0.58 0.66 0.59 121 1.58 0 3.7 0 4.8015 0.0005 0.005 0 1.021 0.045 1.03 1.02 0.02 1.0 -0.34 0.06 1.01 0.03 0.05 0.14 1.01 0.06 -0.01 0.2 0.24 1.0
27913 5 0 1 1.5462951088 0.3538901962 115.43 -162.54 -99.51 0.23 0.16 0.27 0.28 0.16 99 -1.5 1 0.0 0 4.5219 0.001 0.01 0 0.594 0.008 0.66 1.16 0.46 1.58 -1.53 0.94 1.09 1.04 1.11 -1.02 1.11 2.2 4.82 -0.89 -2.62 1.0
27989 1 2 1 1.5497279598 0.1292771753 6.55 27.54 11.3 0.71 0.58 0.83 1.03 0.65 66 -0.11 1 2.4 0 0.4997 0.0234 0.109 2 1.5 0.51 2.32 1.22 0.34 1.63 -0.38 0.49 1.14 0.7 0.11 -0.32 1.01 0.32 1.58 -0.57 -0.23 1.0
28103 5 0 1 1.5551115116 -0.2472789146 67.21 -42.06 139.26 0.14 0.13 0.25 0.19 0.17 141 4.46 0 0.0 0 3.7888 0.0003 0.004 0 0.337 0.012 0.39 1.15 -0.07 1.13 -1.27 0.13 1.08 -1.59 3.22 -0.4 1.04 3.45 -2.76 3.17 -2.16 1.0
28199 5 0 1 1.5600488723 -0.6158098753 3.75 -3.24 10.21 0.14 0.14 0.18 0.16 0.16 143 4.04 1 0.0 0 4.3092 0.0021 0.015 2 -0.165 0.015 -0.16 1.02 -0.27 1.02 -1.31 0.19 1.03 -0.43 0.45 -0.82 1.0 0.46 -1.46 1.72 0.13 1.0
28328 5 0 1 1.5670722719 -0.7472645958 6.91 18.39 -10.87 0.1 0.11 0.12 0.1 0.12 136 -1.18 0 0.0 0 4.1205 0.0004 0.004 0 1.146 0.003 1.06 1.03 -0.14 1.01 0.55 -0.26 1.0 1.64 1.05 -0.54 1.0 0.9 0.31 0.21 0.66 1.0
28360 75 4 1 1.568743343 0.784480729 40.21 -56.44 -0.95 0.2 0.11 0.23 0.25 0.11 135 6.28 2 0.0 0 1.9038 0.0006 0.014 1 0.077 0.006 0.05 1.09 -1.08 1.14 -0.46 -0.14 1.04 -1.27 -2.32 0.3 1.0 -4.41 5.32 -3.75 -1.11 1.0
28380 5 0 1 1.5695773717 0.6494852553 19.7 43.63 -73.79 0.15 0.08 0.16 0.21 0.08 121 -1.78 4 0.0 0 2.6103 0.0022 0.014 1 -0.083 0.004 -0.06 1.04 0.66 1.31 -1.51 -0.82 1.02 0.02 -0.12 -0.41 1.0 -0.28 9.11 -2.04 -0.38 1.0
28614 17 3 2 1.5811948901 0.1683783322 21.05 10.43 -39.09 0.77 0.54 0.68 0.93 0.63 75 13.83 0 0.0 317 4.1792 0.0005 0.004 0 0.17 0.002 0.19 1.59 -0.95 1.78 -0.45 1.05 1.22 1.45 0.23 -0.77 1.43 0.09 3.71 -1.47 -2.64 1.27
28691 5 0 1 1.5858759974 0.3436659774 4.54 9.27 -19.9 0.25 0.14 0.29 0.25 0.15 82 -1.31 2 0.0 0 5.1135 0.0006 0.005 0 -0.097 0.004 -0.08 1.23 0.67 1.28 -2.15 0.74 1.06 0.99 -0.05 -0.88 1.03 0.05 4.21 -1.31 -1.38 1.0
28734 57 3 2 1.5887744152 0.4060269757 21.03 -1.61 -118.33 1.04 0.75 0.9 1.49 0.96 85 21.92 0 0.0 319 4.3198 0.0006 0.004 0 0.835 0.001 0.88 1.57 0.02 2.03 -1.78 0.65 1.12 1.38 0.99 -0.44 1.66 1.78 4.85 -0.8 -1.85 1.75
28910 1 0 1 1.5976550551 -0.2606699208 18.88 -17.61 12.79 0.35 0.32 0.54 0.52 0.39 179 0.34 1 2.1 0 4.689 0.0004 0.004 0 0.046 0.002 0.04 1.24 -0.66 1.28 -0.11 -0.09 1.06 -0.65 1.74 -0.72 1.1 2.09 -0.81 0.59 -1.21 1.0
29038 5 0 1 1.6038355394 0.2577593535 6.32 6.78 -20.23 0.3 0.17 0.33 0.34 0.21 69 4.17 0 0.0 0 4.3588 0.0012 0.007 0 -0.164 0.006 -0.17 1.13 -0.23 1.11 -2.24 0.53 1.02 -0.33 0.01 0.5 1.0 0.04 2.99 -1.1 -0.63 1.0
29151 95 3 1 1.6099138383 0.0436284613 4.98 -0.31 -14.12 0.62 0.5 0.74 0.67 0.52 84 10.72 1 0.0 0 5.7324 0.0063 0.007 0 0.067 0.005 0.08 1.1 -0.3 1.27 -0.58 1.09 1.01 1.07 0.32 0.27 1.01 0.36 2.24 -0.58 -0.4 1.0
29426 5 0 1 1.6228941691 0.2479905929 5.37 0.29 -20.12 0.22 0.14 0.23 0.25 0.16 89 0.95 2 0.0 0 4.3991 0.0006 0.005 0 -0.18 0.01 -0.16 1.11 -0.7 1.22 -1.8 0.01 1.0 1.17 -0.28 0.28 1.01 -0.64 4.66 0.32 -0.7 1.0
29651 5 0 1 1.6356161402 -0.1095146552 6.55 -4.69 -19.3 0.18 0.15 0.19 0.19 0.17 88 -1.24 1 0.0 0 4.1465 0.0008 0.005 0 1.319 0.006 1.27 1.29 -0.83 1.42 -1.59 0.63 1.09 2.91 1.41 0.68 1.01 1.51 4.65 -2.19 -0.62 1.0
29655 17 3 2 1.6357150549 0.3928181795 8.48 -62.46 -12.12 1.23 0.61 1.23 1.06 0.7 69 28.39 0 0.0 329 3.2945 0.0053 0.076 1 1.6 0.39 2.7 1.51 1.75 1.38 -2.96 0.51 1.11 0.67 0.19 -0.34 1.02 0.57 5.73 -1.52 0.55 1.07
29807 5 0 1 1.6430191653 -0.6133214618 17.87 -0.28 87.94 0.12 0.14 0.16 0.13 0.17 129 -0.21 0 0.0 0 4.5365 0.0004 0.004 0 0.978 0.049 0.94 1.05 1.04 1.01 -1.46 0.64 1.01 1.08 -0.02 -0.03 1.0 0.11 -0.55 0.99 0.24 1.0
30060 75 4 1 1.6564185904 1.0299345941 20.83 -5.35 23.86 0.34 0.29 0.4 0.45 0.31 90 11.32 0 0.0 0 4.4594 0.0004 0.004 0 0.032 0.004 0.05 1.07 0.12 1.1 -0.38 0.58 1.01 -0.08 -1.93 0.52 1.0 -2.31 0.1 0.0 0.01 1.0
30122 5 0 1 1.6594290263 -0.5247049047 9.0 7.32 4.03 0.09 0.1 0.13 0.12 0.13 143 -0.04 0 0.0 0 2.9524 0.0004 0.004 0 -0.16 0.002 -0.2 1.01 1.19 1.01 -0.67 0.0 1.0 0.39 0.61 -0.53 1.01 0.57 0.74 0.55 0.97 1.0
30277 75 4 1 1.6672872363 -0.5835730521 13.94 -24.23 -51.4 0.34 0.44 0.51 0.37 0.57 120 25.05 0 0.0 0 3.9932 0.0005 0.004 0 0.858 0.034 0.88 1.03 0.45 1.07 -1.21 0.02 1.04 -0.13 -0.87 -2.31 1.02 -0.7 1.85 0.25 0.98 1.0
30324 5 0 1 1.6698428407 -0.3133898686 6.62 -3.23 -0.78 0.15 0.15 0.22 0.19 0.2 110 6.34 0 0.0 0 1.8911 0.0013 0.01 1 -0.24 0.006 -0.24 1.08 -0.51 1.11 -0.45 0.27 1.02 2.41 1.71 -0.86 1.0 1.63 3.13 -1.25 -0.3 1.0
30343 5 0 1 1.6709775899 0.3929408129 14.08 56.39 -110.03 0.59 0.45 0.71 0.85 0.51 84 19.48 0 0.0 0 2.9141 0.0085 0.043 2 1.621 0.007 2.3 1.16 2.97 1.81 -2.07 0.63 1.12 1.47 0.94 -1.1 1.07 2.68 7.55 -1.69 -2.13 1.0
30419 95 3 1 1.6745050725 0.08016016 26.67 -22.06 10.91 0.75 0.59 0.9 0.97 0.71 45 14.62 0 0.0 0 4.4559 0.0052 0.016 0 0.215 0.015 0.25 1.04 0.49 1.09 -0.41 1.46 1.05 -0.34 0.71 1.0 1.0 0.9 0.36 0.44 0.33 1.0
30438 5 0 1 1.6753045113 -0.9197137785 10.55 19.93 23.24 0.48 0.53 0.56 0.52 0.69 76 31.57 0 0.0 0 -0.5536 0.0066 0.039 0 0.164 0.017 0.23 1.01 0.79 1.08 -0.74 2.11 1.04 0.02 -0.04 -0.83 1.02 -0.04 -1.72 1.71 1.23 1.0
30867 15 3 3 1.6965381174 -0.1227499079 4.82 -6.86 -2.76 0.91 0.7 1.12 1.3 1.08 165 47.13 0 0.0 0 3.7921 0.0021 0.022 2 -0.113 0.033 -0.11 1.17 2.69 1.26 -1.25 0.09 1.02 1.33 0.3 0.68 1.0 1.02 3.21 -0.18 0.04 1.0
30883 5 0 1 1.697172009 0.3527688585 5.99 -6.82 -13.1 0.26 0.15 0.28 0.23 0.18 43 -0.51 0 0.0 0 4.0991 0.0016 0.008 0 -0.115 0.004 -0.1 1.41 0.42 1.08 -3.21 1.04 1.01 -0.01 -0.16 0.27 1.0 -0.21 1.1 -0.5 -0.08 1.0
31416 1 1 1 1.7237584259 -0.4008119534 7.39 13.95 18.56 0.25 0.36 0.58 0.3 0.46 256 1.45 0 2.7 0 4.533 0.0003 0.005 0 -0.035 0.004 -0.01 1.02 0.32 1.03 -0.16 -0.11 1.0 -0.21 0.62 0.19 1.0 0.41 0.36 0.17 -0.15 1.0
31592 5 0 1 1.7308574846 -0.336075528 50.63 62.57 -69.97 0.12 0.13 0.23 0.15 0.16 165 0.6 1 0.0 0 4.12 0.0004 0.004 0 1.037 0.041 1.02 1.15 1.44 1.08 -0.46 0.96 1.01 -3.88 -1.23 0.35 1.04 -1.6 1.44 -0.72 1.82 1.0
31681 1 2 1 1.7353446674 0.2862237699 29.84 13.81 -54.96 2.12 1.53 2.23 2.36 1.77 61 0.13 0 7.7 0 1.929 0.0008 0.004 0 0.001 0.005 0.04 1.14 0.01 1.3 -0.03 0.18 1.03 0.22 0.03 0.04 1.04 0.05 0.46 0.11 -0.16 1.0
31685 5 0 1 1.7355606227 -0.7539110968 8.78 -0.44 -3.87 0.2 0.27 0.26 0.21 0.34 112 16.11 0 0.0 0 3.1395 0.0018 0.014 2 -0.103 0.015 -0.07 1.02 0.66 1.05 -0.68 0.88 1.0 1.57 -0.34 0.22 1.02 -0.18 2.02 0.57 1.48 1.0
32246 5 0 1 1.7624865547 0.4386214075 3.86 -5.57 -12.36 0.17 0.09 0.17 0.24 0.13 110 -3.21 0 0.0 0 3.1915 0.0011 0.007 0 1.377 0.015 1.22 1.11 -3.92 1.29 -1.41 -0.35 1.01 -0.1 -0.52 0.33 1.21 -1.15 5.36 -0.92 -4.07 1.0
32349 0 4 1 1.7678185359 -0.2916993748 379.21 -546.01 -1223.07 1.21 1.04 1.58 1.33 1.24 47 0.0 0 0.0 0 -1.0876 0.0024 0.04 0 0.009 0.007 -0.02 0.83 -0.04 0.96 -0.21 0.32 0.68 0.46 -0.12 0.13 0.9 -0.2 0.62 -0.14 -0.16 1.0
32362 5 0 1 1.7684136731 0.2250786224 55.56 -115.73 -190.55 0.2 0.11 0.19 0.2 0.15 102 -0.72 0 0.0 0 3.4417 0.0005 0.004 0 0.443 0.008 0.48 1.19 0.9 1.57 -2.08 0.12 1.0 2.07 -0.33 0.23 1.01 -0.43 7.47 -0.19 -0.96 1.0
32607 1 2 1 1.7810748356 -1.0810914905 33.78 -66.07 242.97 1.87 1.62 1.78 1.98 2.03 102 0.07 0 12.0 0 3.3114 0.0005 0.004 0 0.225 0.019 0.28 1.05 0.01 1.0 -0.02 -0.04 1.0 0.16 0.03 0.02 1.0 0.03 0.02 0.0 0.04 1.0
32759 5 0 1 1.7882691106 -0.5673801423 4.95 -8.84 3.73 0.08 0.1 0.12 0.1 0.13 135 -1.75 1 0.0 0 3.4644 0.0037 0.048 2 -0.116 0.007 -0.1 1.02 -0.66 1.01 -0.47 -0.1 1.01 -1.18 -0.17 -1.31 1.01 -0.08 -1.19 0.52 -0.98 1.0
32768 75 4 1 1.7886815487 -0.8833879239 17.92 34.36 -69.11 0.36 0.37 0.4 0.45 0.45 101 26.7 0 0.0 0 3.1077 0.0005 0.004 0 1.207 0.003 1.14 1.01 0.41 1.02 -0.7 0.03 1.0 0.85 0.84 -0.36 1.04 0.86 1.61 -0.66 2.14 1.0
33018 5 0 1 1.8011317943 0.5927377222 17.25 -1.66 -47.31 0.17 0.1 0.19 0.25 0.15 93 0.11 0 0.0 0 3.6405 0.0006 0.004 0 0.102 0.009 0.14 1.07 -2.11 1.15 -1.84 0.52 1.01 0.11 -0.31 0.26 1.11 -0.62 3.81 -1.17 -3.28 1.0
33160 7 0 1 1.8072506712 -0.2101130761 12.51 -137.26 -15.37 0.55 0.39 0.62 0.71 0.54 75 15.13 0 0.0 374 4.2092 0.0011 0.006 0 1.418 0.036 1.49 1.26 0.22 1.1 -1.25 0.84 1.12 1.37 -0.01 0.46 1.22 0.04 1.54 -0.68 0.34 1.23
33165 5 0 1 1.807364544 -0.4176284584 0.72 -3.76 4.35 0.27 0.41 0.62 0.33 0.56 227 4.88 0 0.0 0 6.6371 0.0017 0.027 2 -0.056 0.005 -0.03 1.09 -0.68 1.04 0.03 0.24 1.02 -1.45 0.94 -0.37 1.09 0.8 0.06 -0.25 -0.95 1.0
33347 5 0 1 1.8157406554 -0.2976527589 1.3 -3.56 2.42 0.13 0.15 0.2 0.17 0.2 109 -1.12 0 0.0 0 4.369 0.0004 0.005 0 -0.063 0.018 0.01 1.16 2.83 1.03 -0.41 0.65 1.01 -2.36 -0.91 0.92 1.13 -1.53 0.21 0.04 2.39 1.0
33449 5 0 1 1.8207128213 1.0196747522 18.29 6.08 -122.83 0.21 0.15 0.25 0.28 0.22 83 1.55 0 0.0 0 4.5021 0.0006 0.004 0 0.85 0.002 0.85 1.07 -0.72 1.09 -1.27 -0.55 1.0 0.86 0.19 0.06 1.01 0.15 2.2 -0.51 -0.71 1.0
33579 5 0 1 1.8265995338 -0.505658351 8.05 3.24 1.33 0.09 0.11 0.14 0.11 0.16 163 4.53 2 0.0 0 1.416 0.0005 0.005 0 -0.211 0.006 -0.2 1.01 -0.02 1.02 -0.47 0.31 1.0 1.68 -0.27 0.78 1.0 -0.22 1.6 -0.39 0.62 1.0
33856 5 0 1 1.8400971203 -0.4875549628 2.91 -5.98 4.59 0.11 0.14 0.19 0.14 0.18 153 1.44 0 0.0 0 3.5847 0.0034 0.036 2 1.729 0.014 1.82 1.03 -0.95 1.01 -0.57 0.49 1.0 -1.59 0.06 -0.57 1.03 0.2 -0.39 -0.16 -1.39 1.0
33977 7 0 1 1.8457928417 -0.4159695755 1.18 -2.21 3.61 0.3 0.37 0.4 0.37 0.4 173 25.68 0 0.0 385 3.005 0.0022 0.026 1 -0.077 0.035 -0.03 1.37 -0.03 1.44 0.0 0.22 1.05 1.96 -0.79 0.2 1.21 -0.69 0.96 -0.48 0.06 1.04
34045 5 0 1 1.848994038 -0.2728518335 7.38 -0.14 -11.36 0.14 0.16 0.21 0.19 0.21 126 1.14 0 0.0 0 4.0738 0.0004 0.004 0 -0.112 0.011 -0.09 1.21 3.88 1.04 -0.72 0.18 1.01 -2.53 -1.0 0.85 1.26 -1.84 0.63 0.28 3.81 1.0
34088 5 0 1 1.8505242699 0.3590194508 2.37 -7.29 -0.41 0.3 0.2 0.3 0.49 0.32 75 1.19 0 0.0 0 4.1689 0.034 0.214 1 0.899 0.038 0.9 1.07 -0.67 1.22 -0.22 -0.12 1.0 0.64 -0.71 -0.17 1.01 -1.28 2.38 0.17 -0.41 1.0
34444 7 0 1 1.8692102558 -0.4606483732 2.03 -3.12 3.31 0.2 0.25 0.38 0.26 0.34 185 29.82 0 0.0 393 1.9628 0.0006 0.006 0 0.671 0.019 0.67 1.1 -2.62 1.02 -0.71 0.72 1.05 -3.12 0.52 -1.13 1.17 0.9 0.74 -1.5 -2.54 1.13
34481 95 3 1 1.8707620463 -1.230443056 23.33 24.29 107.03 0.96 0.81 0.92 1.08 0.86 98 48.04 2 0.0 0 3.9295 0.0086 0.042 0 1.006 0.015 0.94 1.05 0.99 1.01 -1.75 -0.71 1.0 1.16 0.08 -0.28 1.01 0.26 -0.12 -0.07 1.2 1.0
34693 5 0 1 1.8812025158 0.5278797345 10.16 -31.21 -48.92 0.22 0.11 0.25 0.28 0.17 117 -1.35 0 0.0 0 4.5603 0.0005 0.005 0 1.261 0.0 1.25 1.1 0.28 1.14 -1.69 0.06 1.07 0.22 0.0 -0.62 1.03 0.01 2.89 -1.46 -1.4 1.0
34769 5 0 1 1.8843636578 -0.008600645 8.49 0.79 4.52 0.16 0.11 0.17 0.18 0.13 88 -2.21 0 0.0 0 4.1544 0.0004 0.003 0 -0.005 0.006 0.02 1.16 1.2 1.16 -0.94 0.58 1.02 2.32 -0.16 0.65 1.03 0.21 3.58 1.04 1.57 1.0
35037 5 0 1 1.8972210119 -0.4672715214 3.58 -11.88 6.87 0.09 0.12 0.17 0.11 0.17 188 0.67 1 0.0 0 3.9854 0.0011 0.018 2 -0.15 0.22 -0.08 1.02 -0.74 1.01 -0.3 0.07 1.0 -1.61 -0.24 0.66 1.0 -0.08 0.61 -0.07 -0.31 1.0
35228 5 0 1 1.9060326796 -1.1860764138 4.42 -4.43 8.38 0.11 0.1 0.11 0.13 0.11 106 -2.02 4 0.0 0 4.1197 0.0005 0.004 0 0.76 0.025 0.78 1.07 -0.37 1.03 -2.31 -0.7 1.01 0.83 1.09 0.66 1.01 1.16 1.21 0.37 0.93 1.0
35264 15 3 2 1.907395009 -0.6474732902 4.04 -10.05 6.47 0.23 0.28 0.33 0.25 0.35 125 19.46 0 0.0 0 2.8296 0.0021 0.021 2 1.616 0.015 1.65 1.01 -0.35 1.02 -0.46 -1.29 1.03 0.75 0.26 -2.02 1.0 0.19 0.27 0.79 0.22 1.0
35350 5 0 1 1.9115432695 0.2886857528 32.33 -44.43 -36.61 0.18 0.1 0.2 0.26 0.15 77 -1.84 2 0.0 0 3.6148 0.0004 0.003 0 0.106 0.006 0.12 1.07 -1.21 1.19 -1.01 0.73 1.04 0.79 -0.58 0.96 1.02 -1.36 3.63 0.06 -1.23 1.0
35550 75 4 1 1.9203995423 0.3836642074 53.94 -15.13 -9.79 0.57 0.39 0.66 0.85 0.47 45 12.46 0 0.0 0 3.6031 0.0006 0.004 0 0.374 0.015 0.44 1.03 -0.12 1.08 -0.93 1.46 1.04 -0.38 -0.19 0.94 1.03 -0.29 0.83 -0.09 -1.36 1.0
35904 7 0 1 1.9377303527 -0.5114359187 1.64 -4.14 5.81 0.24 0.35 0.4 0.29 0.42 169 32.82 0 0.0 407 2.4215 0.0021 0.03 2 -0.083 0.01 0.01 1.05 -1.69 1.16 -0.91 -0.44 1.01 -1.49 -0.47 -1.89 1.07 -0.19 -0.29 0.34 -1.72 1.02
36046 5 0 1 1.9448550159 0.4851716099 27.1 -122.66 -84.03 0.17 0.13 0.2 0.26 0.15 44 -1.67 0 0.0 0 3.9507 0.0006 0.004 0 1.024 0.001 1.01 1.03 0.26 1.17 -0.69 2.17 1.0 0.18 0.49 -0.12 1.03 0.75 1.14 0.13 -1.37 1.0
36145 5 0 1 1.9491590555 0.8589052354 11.92 -10.22 -49.29 0.2 0.16 0.24 0.25 0.17 98 -0.94 2 0.0 0 4.6188 0.0006 0.005 0 -0.001 0.002 0.02 1.18 2.59 1.23 -1.61 0.4 1.02 0.68 -0.12 -0.11 1.01 0.16 3.94 1.16 0.63 1.0
36188 5 0 1 1.9510651917 0.1446774771 20.17 -51.76 -38.29 0.18 0.12 0.2 0.21 0.14 74 0.92 0 0.0 0 2.8546 0.0004 0.005 0 -0.097 0.008 -0.07 1.14 3.17 1.09 -1.12 1.09 1.01 2.08 0.91 0.43 1.07 2.28 3.07 -0.35 2.87 1.0
36377 75 4 1 1.9601413383 -0.7557605692 16.84 -59.55 188.31 0.4 0.4 0.48 0.42 0.51 132 37.55 0 0.0 0 3.3757 0.0017 0.014 1 1.509 0.004 1.54 1.02 -0.1 1.0 -1.41 -0.41 1.0 1.15 0.38 -0.33 1.0 0.35 0.47 -0.02 0.13 1.0
36850 15 3 2 1.9835670383 0.5565616766 64.12 -191.45 -145.19 3.3 2.63 3.75 3.95 2.95 68 95.08 0 0.0 0 1.5811 0.0009 0.005 0 0.034 0.002 0.05 1.03 0.44 1.08 -0.23 1.45 1.01 0.74 0.85 0.38 1.01 1.18 1.1 -0.63 0.73 1.0
36962 5 1 1 1.9893387913 0.4694238089 12.04 -34.12 -106.96 0.63 0.48 0.68 0.67 0.5 51 15.28 0 0.0 0 4.1682 0.0023 0.013 2 1.54 0.013 1.66 1.08 1.17 1.1 -0.81 0.82 1.02 1.3 0.59 0.42 1.01 1.08 2.81 1.26 1.02 1.0
37279 75 4 1 2.0041134442 0.0912372189 284.56 -714.59 -1036.8 0.98 0.55 1.26 2.06 1.15 53 23.91 1 0.0 0 0.4607 0.0017 0.007 0 0.432 0.015 0.49 1.31 6.42 1.02 -0.8 -0.31 1.23 0.86 0.42 1.83 1.93 1.56 1.37 0.75 6.14 1.0
37447 5 0 1 2.0125738273 -0.1666978497 22.07 -74.61 -19.59 0.11 0.09 0.18 0.14 0.1 151 -1.75 1 0.0 0 4.0986 0.0004 0.005 0 1.021 0.019 1.01 1.1 2.07 1.13 -0.83 -0.21 1.01 -0.85 -2.08 1.0 1.04 -2.88 3.08 0.56 2.32 1.0
37504 5 0 1 2.0150695931 -1.2672161175 23.13 33.34 14.89 0.11 0.1 0.12 0.1 0.12 148 -1.38 1 0.0 0 4.1071 0.0008 0.007 0 1.033 0.004 1.02 1.11 -0.15 1.01 -1.64 -0.97 1.02 3.55 -0.07 1.15 1.0 -0.13 0.92 -1.1 -0.06 1.0
37740 5 0 1 2.0265358685 0.4258276839 23.07 -23.39 -54.57 0.2 0.11 0.22 0.23 0.13 89 1.04 1 0.0 0 3.7285 0.0004 0.004 0 0.932 0.002 0.9 1.11 2.85 1.04 -1.67 0.68 1.02 0.28 0.86 -0.43 1.01 1.5 1.52 -1.62 1.31 1.0
37826 5 0 1 2.0303534384 0.4891513905 96.54 -626.55 -45.8 0.25 0.14 0.27 0.3 0.18 104 11.07 0 0.0 0 1.2947 0.0006 0.005 0 0.991 0.005 0.97 1.04 2.74 1.07 -0.84 0.81 1.02 1.02 0.24 1.04 1.0 0.77 3.87 1.62 0.38 1.0
38146 1 2 1 2.0465219238 -0.4348006743 11.59 -34.47 16.68 0.55 0.77 1.17 0.66 0.83 192 0.28 0 5.5 0 5.4547 0.0006 0.008 2 0.751 0.015 0.79 1.04 0.07 1.08 -0.13 -0.02 1.0 -0.4 -0.04 -0.01 1.02 -0.04 0.49 -0.1 0.26 1.0
39429 5 0 1 2.110035446 -0.6981873479 3.01 -29.71 16.68 0.08 0.08 0.1 0.08 0.09 138 -1.32 4 0.0 0 2.1364 0.001 0.007 0 -0.269 0.018 -0.22 1.03 0.5 1.05 -0.41 -1.71 1.02 2.37 -0.65 -1.81 1.02 -0.51 2.74 -1.26 2.22 1.0
39757 5 0 1 2.1273165334 -0.4241924449 51.33 -83.35 46.23 0.06 0.07 0.15 0.06 0.07 318 -0.64 2 0.0 0 2.9157 0.0038 0.04 1 0.458 0.003 0.42 1.12 -3.2 1.11 0.29 -0.63 1.03 -1.66 -7.19 3.32 1.04 -6.09 4.48 1.18 -4.38 1.0
39794 15 3 2 2.1289992235 -1.1975949534 5.8 -29.14 29.26 0.36 0.38 0.39 0.41 0.43 108 19.74 0 0.0 0 4.3109 0.0006 0.005 0 -0.113 0.003 -0.1 1.06 0.67 1.03 -1.07 -0.64 1.02 1.7 1.33 0.1 1.04 1.38 0.66 1.36 1.78 1.0
39863 5 0 1 2.1318947824 -0.0520767303 3.08 -18.81 -4.5 0.19 0.14 0.27 0.23 0.15 110 0.61 0 0.0 0 4.522 0.0008 0.006 0 0.97 0.04 0.92 1.18 2.92 1.04 -1.35 0.93 1.01 -1.35 -0.12 0.31 1.03 -0.75 -0.98 0.99 1.77 1.0
